route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
868004,20163611multiint-0000001,48944371-20163611multiint-0000001,"Beauport (Est)",,0,,80040024,1
868004,20163611multiint-0000001,48944453-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80040321,1
868014,20163611multiint-0000001,48944534-20163611multiint-0000001,"Charlesbourg (Est)",,0,,80140018,1
868014,20163611multiint-0000001,48944618-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80140017,1
868074,20163611multiint-0000001,48943289-20163611multiint-0000001,"Place D'Youville (Est)",,0,,80740009,1
868074,20163611multiint-0000001,48943369-20163611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,80740010,1
860840,20163512multiint-0000010,48940764-20163512multiint-0000010,"Neufchâtel (Nord)",,0,,08400197,2
860840,20163512multiint-0000010,48940739-20163512multiint-0000010,"Place Jacques-Cartier (Sud)",,1,,08400214,2
860800,20163512multiint-0000010,48940662-20163512multiint-0000010,"L'Ancienne-Lorette (Nord)",,0,,08000378,2
860800,20163512multiint-0000010,48940645-20163512multiint-0000010,"L'Ancienne-Lorette (Nord)",,0,,08000378,2
860720,20163512multiint-0000010,48939673-20163512multiint-0000010,"Terminus Charlesbourg (Est)",,0,,07200075,2
860720,20163512multiint-0000010,48939696-20163512multiint-0000010,"Loretteville (Ouest)",,1,,07200076,2
860870,20163512multiint-0000010,48939333-20163512multiint-0000010,"Sainte-Foy Centre (Sud)",,1,,08700621,2
860160,20163512multiint-0000010,48939508-20163512multiint-0000010,"Sillery / U. Laval / Sainte-Foy Centre (Est)",,0,,01600269,2
860870,20163512multiint-0000010,48939352-20163512multiint-0000010,"Loretteville (Nord)",,0,,08700650,2
860770,20163512multiint-0000010,48940578-20163512multiint-0000010,"Terminus Les Saules (Sud)",,1,,07700022,2
860770,20163512multiint-0000010,48940597-20163512multiint-0000010,"Val-Bélair (Nord)",,0,,07700021,2
860280,20163512multiint-0000010,48941525-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941490-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
860280,20163512multiint-0000010,48941527-20163512multiint-0000010,"51e Rue Est (Nord)",,0,,02800027,2
860280,20163512multiint-0000010,48941492-20163512multiint-0000010,"Colline Parlementaire (Sud)",,1,,02800023,2
